grade;standard;manufacturer;country;source
S44400;UNS, США;;США;csv:Ферритные стали.csv
1.4521;EN, Европа;;Европа;csv:Ферритные стали.csv
446;AISI, США;;США;csv:Ферритные стали.csv
S44600;UNS, США;;США;csv:Ферритные стали.csv
26-1;AISI, США;;США;csv:Ферритные стали.csv
S44626;UNS, США;;США;csv:Ферритные стали.csv
29-4;AISI, США;;США;csv:Ферритные стали.csv
S44700;UNS, США;;США;csv:Ферритные стали.csv
29-4-2;AISI, США;;США;csv:Ферритные стали.csv
S44800;UNS, США;;США;csv:Ферритные стали.csv
CB-30;AISI, США;;США;csv:Ферритные стали.csv
J91803;UNS, США;;США;csv:Ферритные стали.csv
CC-50;AISI, США;;США;csv:Ферритные стали.csv
J92616;UNS, США;;США;csv:Ферритные стали.csv
1,4713;AISI, США;;США;csv:Ферритные стали.csv
1.4713;EN, Европа;;Европа;csv:Ферритные стали.csv
"1.4742
Alleima® 4C54";AISI, США;;США;csv:Ферритные стали.csv
1.4742;EN, Европа;;Европа;csv:Ферритные стали.csv
E-BRITE®;AISI, США;;США;csv:Ферритные стали.csv
S44726;UNS, США;;США;csv:Ферритные стали.csv
MONIT™;AISI, США;;США;csv:Ферритные стали.csv
S44635;UNS, США;;США;csv:Ферритные стали.csv
SEA-CURE®;AISI, США;;США;csv:Ферритные стали.csv
S44660;UNS, США;;США;csv:Ферритные стали.csv
AL 29-4;AISI, США;;США;csv:Ферритные стали.csv
AL 29-4C;AISI, США;;США;csv:Ферритные стали.csv
S44735;UNS, США;;США;csv:Ферритные стали.csv
AL 29-4-2;AISI, США;;США;csv:Ферритные стали.csv
SHOMAC® 30-2;AISI, США;;США;csv:Ферритные стали.csv
