grade,analogues,base,c,cr,mo,v,w,co,ni,mn,si,s,p,cu,nb,n,other,tech,standard,manufacturer,link
4Х5МФ1С,H13 T20811 T20813 1.2344 Х40CrMoV5-1 SKD61 Z40CDV5 Х40CrMoV5 2344 BH13 X40CrMoV5-1 X40CrMoV5-1-1 UD14 Х40CrMoV5-1-1KU F.5318 4Cr5MoSiV1 SM4Cr5MoSiV1 2214 2242 K13 K13K L40H5MF 40VSiMoCr52 19554 W302 STD61,Fe,0.37-0.44,4.5-5.5,1.2-1.5,0.8-1.1,,,0-0.4,0.2-0.5,0.9-1.2,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=285
4Х5МФС,H11 T20811 1.2343 X40CrMoV5-1 Х38CrMoV5-1 SKD6 X37CrMoV51KU X38CrMoV5 Z38CDV5 2343 BH11 X37CrMoV5-1 UD12 X37CrMoV5-1KU X37CrMoV5 4Cr5MoSiV SM4Cr5MoSiV 39VSiMoCr52 19552 19553 BOHLERW300 W300 STD6,Fe,0.32-0.4,4.5-5.5,1.2-1.5,0.3-0.5,,,0-0.4,0.2-0.5,0.9-1.2,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=286
4ХВ2С,35WCrV7,Fe,0.35-0.45,1-1.3,,,2-2.5,,0-0.35,0.15-0.4,0.6-0.9,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=292
4ХМФС,48CrMoV6-7 45CrMoV6 BOHLERW326,Fe,0.37-0.45,1.5-1.8,0.9-1.2,0.3-0.5,,,0-0.4,0.5-0.8,0.5-0.8,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=284
5Х2МНФ,57NiCrMoV7-7 X38CrMoV5-1,Fe,0.46-0.53,1.5-2,0.8-1.1,0.3-0.5,,,1.2-1.6,0.4-0.7,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=648
5Х3В3МФС,30WCrV17-2 X30WCrV5-3 X30WCrV9-3,Fe,0.45-0.52,2.5-3.2,0.8-1.1,1.5-1.8,3-3.6,,0-0.4,0.2-0.5,0.5-0.8,0-0.03,0-0.03,0-0.3,0.05-0.15,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=653
5ХВ2С,S1 S2 1.2542 45WCrV7 60WCrV 55WC20 BS1 1.2550 55WCrV8 60WCrV8 55WCrV8KU 45WCrSi8 NZ3 19733 K455,Fe,0.45-0.55,0.9-1.2,0-0.3,0-0.3,1.8-2.3,,0-0.35,0.15-0.45,0.8-1.1,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=293
5ХГМ,40CrMnMo7 55NiCrMoV6 57NiCrMoV7-7 X38CrMoV5-1,Fe,0.5-0.6,0.6-0.9,0.15-0.3,,,,0-0.35,1.2-1.6,0.25-0.6,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=283
5ХНМ,L6 T61206 1.2711 1.2713 55NiCrMoV5 55NiCrMoV6 56CrNiMoV7 G55NiCrMoV6 SKT3 SKT4 55NCDV7 55NiCrMoV7 BH224/5 1.2714 44NiCrMoV7KU 55NiCrMoV7KU F.520S 5CrNiMo 2550 5ChNM WNL1 55MoCrNi16 55VMoCrNi16 19662 W502 STF4,Fe,0.5-0.6,0.5-0.8,0.15-0.3,,,,1.4-1.8,0.5-0.8,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=282
6ХВ2С,T41901 60WCrV7 BS1 55WCrV8 55WCrV8KU 60WCrSi8 W6 NZ3 19733 BOHLERK455,Fe,0.55-0.65,1-1.3,,,2.2-2.7,,0-0.4,0.15-0.45,0.5-0.8,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=294
6ХВГ,,Fe,0.55-0.7,0.5-0.8,,,0.5-0.8,,0-0.4,0.9-1.2,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=295
6ХС,60MnSi4,Fe,0.6-0.7,1-1.3,0-0.2,0-0.15,0-0.2,,0-0.4,0.15-0.45,0.6-1,0-0.03,0-0.03,0-0.3,,,Ti 0-0.03,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=291
7Х3,55NiCrMoV6 57NiCrMoV7-7 X38CrMoV5-1 X40CrMoV5-1,Fe,0.65-0.75,3.2-3.8,0-0.2,0-0.15,0-0.2,,0-0.4,0.15-0.45,0.1-0.4,0-0.03,0-0.03,0-0.3,,,Ti 0-0.03,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=280
7ХГ2ВМ,,Fe,0.68-0.76,1.5-1.8,0.5-0.8,0.1-0.25,0.5-0.9,,,1.8-2.3,0.2-0.4,0-0.03,0-0.03,,,,,,"ГОСТ 5950-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=833
7ХГ2ВМФ,AM6F2,Fe,0.68-0.76,1.5-1.8,0.5-0.8,0.1-0.25,0.55-0.9,,0-0.4,1.8-2.3,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=279
8Х3,,Fe,0.75-0.85,3.2-3.8,0-0.2,0-0.15,0-0.2,,0-0.4,0.15-0.45,0.1-0.4,0-0.03,0-0.03,0-0.3,,,Ti 0-0.03,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=281
8Х4В3М3Ф2,,Fe,0.75-0.85,3.5-4.5,2.5-3,1.9-2.5,2.5-3.2,,,0.15-0.4,0.15-0.4,0-0.03,0-0.03,,,,,,"ГОСТ 5950-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=832
Х12,D3 T30403 T30404 1.2060 1.2080 X210Cr12 X210CrW12 SKD1 X200CM2 X200Cr12 Z200C12 2080 BD3 X21Cr12 X205Cr12KU F.5212 X120Cr12 X210CM2 Cr12 2312 Ch12 NC11 205Cr115 19436 BOHLERK100 K100 STD1,Fe,2-2.2,11.5-13,0-0.2,0-0.15,0-0.2,,0-0.4,0.15-0.45,0.1-0.4,0-0.03,0-0.03,0-0.3,,,Ti 0-0.03,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=264
Х12ВМ,D4 1.2346 X210CrV12 X210CrW12 SKD-2,Fe,2-2.2,11-12.5,0.6-0.9,0.15-0.3,0.5-0.8,,0-0.35,0.15-0.45,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=278
Х12ВМФ,X210CrCoW12 X210CrW12,Fe,2-2.2,11-12.5,0.6-0.9,0.15-0.3,0.5-0.8,,0-0.4,0.15-0.45,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=647
Х12М,D2 X165CrMoV12 SKD11,Fe,1.45-1.65,11-12.5,0.4-0.6,0.15-0.3,,,,0.15-0.4,0.15-0.35,0-0.03,0-0.03,,,,,,"ГОСТ 5950-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=831
Х12МФ,D2 T30402 1.2379 1.2601 X162CrMoV12 X165CrMoV12 Х155CrVMo12-1 SKD11 X160CrMoV12 Z160CDV12 BD2 X160CrMoV12-1 C165CrMoV12KU X155CrVMo12-1KU 2310 Ch12MF K8 NC11LV 19572 K105,Fe,1.45-1.65,11-12.5,0.4-0.6,0.15-0.3,,,0-0.4,0.15-0.45,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=277
Х12Ф1,D5 T30402 X155CrVMo12-1 SKD11 X160CrMoV12 BD2 X155CrVMo12-1KU 2310 BOHLERK110,Fe,1.25-1.45,11-12.5,,0.7-0.9,,,0-0.4,0.15-0.45,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=276
Х6ВФ,A2 T30102 1.2363 X100CrMoV5-1 SKD12 Z100CDV5 BA2 X100CrMoV5,Fe,1.05-1.15,5.5-6.5,,0.5-0.8,1.1-1.5,,0-0.4,0.15-0.45,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=144
Х6Ф4М,,Fe,1.7-1.85,5.7-6.5,0.5-0.8,3.5-4,,,,0.15-0.4,0.15-0.4,0-0.015,0-0.02,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1462
11М5Ф,,Fe,1.02-1.1,3.8-4.2,5.2-5.8,1.3-1.6,0-0.6,,,0-0.4,0-0.5,,,,,,CE 0-0.15,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1461
11Р3АМ3Ф2,S3-3-2 HS3-3-2 Rp9 19820 BOHLERS610,Fe,1.02-1.12,3.8-4.3,2.5-3,2.3-2.7,2.5-3.3,0-0.5,0-0.6,0.2-0.5,0.2-0.5,0-0.03,0-0.03,0-0.25,0.05-0.2,0.05-0.1,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=601
9Х4М3Ф2АГСТ,,Fe,0.87-0.97,4-4.5,2.7-3.2,1.6-2.1,0-0.6,,0.04-0.1,0.55-0.75,0.5-0.7,,,,,,Ti 0.15-0.25; B 0-0.003; Ca 0-0.08,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1460
Р10Ф5К5,,Fe,1.45-1.55,4-4.6,0-1,4.3-5.1,10-11.5,5-6,0-0.4,0-0.4,0-0.5,0-0.03,0-0.03,,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=841
Р12,,Fe,0.8-0.9,3.1-3.6,0-1,1.5-1.9,12-13,0-0.5,0-0.4,0-0.5,0-0.5,0-0.03,0-0.03,,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=599
Р12Ф3,1.3318 HS12-1-2 S12-1-2 SKH6 SW12 19802 19810,Fe,0.95-1.05,3.8-4.3,0-1,2.5-3,12-13,0-0.5,0-0.6,0.2-0.5,0.2-0.5,0-0.03,0-0.03,0-0.25,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=603
Р14Ф4,,Fe,1.2-1.3,4-4.6,0-1,3.4-4.1,13-14.5,,0-0.4,0-0.4,0-0.5,0-0.03,0-0.03,,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=838
Р18,T1 T12001 1.3355 HS18-0-1 S18-0-1 X75WCrV18-4-1 SKH2 18-04-01 Z80WCV Z80WCV18-04-01 3355 BT1 HSv18-0-1 X75WCrV18 18-0-1 ET1 W18Cr4V 2750 R18 R3 SW18 Rp3 19824 BOHLERS200 S200,Fe,0.73-0.83,3.8-4.4,0-1,1-1.4,17-18.5,0-0.5,0-0.6,0.2-0.5,0.2-0.5,0-0.03,0-0.03,0-0.25,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=301
Р18К5Ф2,T12004 T4 1.3255 HS18-1-2-5 S18-1-2-5 SKH3 18-05-04-01 Z80WKCV BT4 HS18-1-1-5 W18Cr4VCo4 R18K5F2 19855 S305,Fe,0.85-0.95,3.8-4.4,0-1,1.8-2.2,17-18.5,4.7-5.2,0-0.6,0.2-0.5,0.2-0.5,0-0.03,0-0.03,0-0.25,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=604
Р18Ф2,,Fe,0.85-0.95,3.8-4.4,0-1,1.8-2.4,17-18,,0-0.4,0-0.4,0-0.5,0-0.03,0-0.03,,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=836
Р18Ф2К5,,Fe,0.85-0.95,3.8-4.4,0-1,1.9-2.4,17-18.5,5-6,0-0.4,0-0.4,0-0.5,0-0.03,0-0.03,,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=840
Р2АМ9К5,M30 M47 T11330 T11342 T11347 S2-10-1-8 SKH59 HS2-9-1-8 BM42 R2M8K5F2 R11 SK8M,Fe,1-1.1,3.8-4.4,8-9,1.7-2.1,1.5-2,4.7-5.2,0-0.6,0.2-0.5,0.2-0.5,0-0.03,0-0.03,0-0.25,0.1-0.3,0.05-0.1,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=606
Р2М5,,Fe,0.95-1.05,3.8-4.3,4.8-5.3,0.9-1.3,1.7-2.3,,0.05-0.08,0-0.5,0-0.5,,,,,,Zr 0.05-0.15,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1459
Р6АМ5,,Fe,0.82-0.9,3.8-4.4,4.8-5.3,1.7-2.1,5.5-6.5,0-0.5,0-0.6,0.2-0.5,0.2-0.5,0-0.025,0-0.03,0-0.25,,0.05-0.1,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1696
Р6АМ5Ф3,,Fe,0.95-1.05,3.8-4.3,4.8-5.3,2.3-2.7,5.7-6.7,0-0.5,0-0.6,0.2-0.5,0.2-0.5,0-0.025,0-0.03,0-0.25,,0.05-0.1,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1697
Р6М3,,Fe,0.85-0.95,3-3.6,3-3.6,2-2.5,5.5-6.5,,0-0.4,0-0.4,0-0.5,0-0.03,0-0.03,,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=837
Р6М5,T11302 М2 1.3343 HS6-5-2 S6-5-2 S6-5-2S SC6-5-2 X82WMoCrV6-5-4 SKH51 HS6-5-2HC X85WMoCrV6-5-4 Z85WDCV 3343 BM2 1.3339 HS6-5-2C X82WMoV6-5 6-5-2 EM2 W6Mo5Cr4V2 2722 R6M5 R6 SW7M Rp5 19830 BOHLERS600 S600,Fe,0.82-0.9,3.8-4.4,4.8-5.3,1.7-2.1,5.5-6.5,0-0.5,0-0.6,0.2-0.5,0.2-0.5,0-0.025,0-0.03,0-0.25,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=600
Р6М5К5,T11341 1.3243 HS6-5-2-5 S6-5-2-5 S6-5-2-5S SKH55 06-05-05-04-02 HS6-5-2-5HC HS6-5-2HC Z85WDKCV Z85WDKCV06 Z90WDKCV 3243 BM35 6-5-2-5 EM35 F.5613 W6Mo5Cr4V2Co5 2723 2733 R6M5K5 R8 SK5M 19852 BOHLERS705 S705,Fe,0.86-0.94,3.8-4.3,4.8-5.3,1.7-2.1,5.7-6.7,4.7-5.2,0-0.6,0.2-0.5,0.2-0.5,0-0.03,0-0.03,0-0.25,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=298
Р6М5Ф3,T11313 T11323 S6-5-3 SKH52 SKH53,Fe,0.95-1.05,3.8-4.3,4.8-5.3,2.3-2.7,5.7-6.7,0-0.5,0-0.6,0.2-0.5,0.2-0.5,0-0.025,0-0.03,0-0.25,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=602
Р9,422992,Fe,0.85-0.95,3.8-4.4,0-1,2.3-2.7,8.5-9.5,0-0.5,0-0.4,0-0.5,0-0.5,0-0.03,0-0.03,,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=299
Р9К10,,Fe,0.9-1,3.8-4.4,0-1,2-2.6,9-10.5,9-10.5,0-0.4,0-0.4,0-0.5,0-0.03,0-0.03,,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=842
Р9К5,T12008 SK5 Rp1 19856,Fe,0.9-1,3.8-4.4,0-1,2.3-2.7,9-10,5-6,0-0.6,0.2-0.5,0.2-0.5,0-0.03,0-0.03,0-0.25,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=605
Р9М4К8,T11348 S10-4-3-10 SKH57 HS10-4-3-10 BT42 2736 R9M4K8 R14 SK10V,Fe,1-1.1,3-3.6,3.8-4.3,2.3-2.7,8.5-9.5,7.5-8.5,0-0.6,0.2-0.5,0.2-0.5,0-0.03,0-0.03,0-0.25,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=300
Р9Ф5,1.3302 S12-1-4 Z130WV13-4 SW12 19810,Fe,1.4-1.5,3.8-4.4,0-1,4.3-5.1,9-10.5,,0-0.4,0-0.4,0-0.5,0-0.03,0-0.03,,,,,,"ГОСТ 19265-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=839
15Л,J01700 1.0416 1.0420 1.1142 GS-38 GS-CK16 SC360 E20-40M AM1 AW1 CLA9 C18D FeG42 ZG200-400 1035 15LI 15LII Ao400 Ao400FK L400 LII400 OT400-1 OT400-3 422630 200-400 SC(37)C,Fe,0.12-0.2,,,,,,,0.45-0.9,0.2-0.52,0-0.06,0-0.06,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=214
20Л,1A J02002 J02502 1.0443 1.0619 GP240GH GS45 SC450 SCPH1 430A GC20 L20 422643,Fe,0.17-0.25,,,,,,,0.45-0.9,0.2-0.52,0-0.06,0-0.06,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=215
25Л,2A A10 N1 1.0443 1.0446 GS-45 GS45 SC410 SC46 230-400-M A48M1 161-430 161-430A FeG45 1305 25LI 25LII Ao450FK L450 LII400 OT450-3 422640,Fe,0.22-0.3,,,,,,,0.45-0.9,0.2-0.52,0-0.06,0-0.06,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=216
30Л,Gr.N2 J03002 J03003 1.0551 GS52 SC450 SC480 E26-52-M 161Gr400A FeG49-1 1505 LII500 422650,Fe,0.27-0.35,,,,,,,0.45-0.9,0.2-0.52,0-0.06,0-0.06,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=217
35Л,Gr1 J03502 1.0552 GS-52 S355JRC SC480 280-480M 161-480 A2 ZG270-500 ZGD290-510 35LI 35LII Ao500 Ao500FK L500 LII500 OT500-1 OT500-3 422650 G-26-52 G-30-57 Sst520,Fe,0.32-0.4,,,,,,,0.45-0.9,0.2-0.52,0-0.06,0-0.06,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=218
40Л,3А J04002 SCC3 CLA1gradeC CLA8gradeC 35LI 40LI OT550-1 G-30-57,Fe,0.37-0.45,,,,,,,0.45-0.9,0.2-0.52,0-0.06,0-0.06,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=219
45Л,1.0558 GS-60 A3 ZGD410-620 45LI 45LII Ao550 Ao550FK L600 LII600 OT600-1 OT600-3 422660 G-30-57 Sst570,Fe,0.42-0.5,,,,,,,0.45-0.9,0.2-0.52,0-0.06,0-0.06,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=220
50Л,A732(4A) GS-60 SCC5,Fe,0.47-0.55,,,,,,,0.45-0.9,0.2-0.52,0-0.06,0-0.06,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=221
55Л,Gr.105-85 1.0554 GS62 SCC5 E26-52-M AW3 422670,Fe,0.52-0.6,0-0.3,,,,,0-0.3,0.4-0.9,0.2-0.52,0-0.045,0-0.04,0-0.3,,,,,"ГОСТ 977-75, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=222
03Н12Х5М3ТЛ,,Fe,0.01-0.04,4.5-5,2.5-3,,,,12-12.5,0-0.2,0-0.2,0-0.015,0-0.015,,,,Ti 0.7-0.9,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=621
03Н12Х5М3ТЮЛ,,Fe,0.01-0.04,4.5-5,2.5-3,,,,12-12.5,0-0.2,0-0.2,0-0.015,0-0.015,,,,Ti 0.7-0.9; Al 0.25-0.45,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=622
08ГДНФЛ,,Fe,0-0.1,,,0-0.1,,,1.15-1.55,0.6-1,0.15-0.4,0-0.035,0-0.035,0.8-1.2,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=240
08Х17Н34В5Т3Ю2Л,,Fe,0-0.08,15-18,,,4.5-5.5,,32-35,0.3-0.6,0.2-0.5,0-0.01,0-0.01,0-0.3,,,Fe 34.64-43.7; CE 0-0.01; Ti 2.6-3.2; Al 1.7-2.1; B 0-0.05,,"ГОСТ 2176-77, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=568
120Г13Х2БЛ,,Fe,1-1.4,1.5-2.5,,,,,0-1,11.5-14.5,0.3-1,0-0.05,0-0.1,0-0.3,0.08-0.1,,,,"ГОСТ 2176-77, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=574
12ДН2ФЛ,,Fe,0.08-0.16,,,0.08-0.15,,,1.8-2.2,0.4-0.9,0.2-0.4,0-0.035,0-0.035,1.2-1.5,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=241
12ДХН1МФЛ,12DChNMFL T14VMoCuCrNi16,Fe,0.1-0.18,1.2-1.7,0.2-0.3,0.08-0.15,,,1.4-1.8,0.3-0.55,0.2-0.4,0-0.03,0-0.03,0.4-0.65,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=615
12Х7Г3СЛ,,Fe,0.1-0.15,7-7.5,,,,,,3-3.5,0.8-1.2,0-0.02,0-0.02,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=617
13ХНДФТЛ,13ChNDFTL,Fe,0-0.16,0.15-0.4,,0.06-0.12,,,1.2-1.6,0.4-0.9,0.2-0.4,0-0.03,0-0.03,0.65-0.9,,,Ti 0.04-0.1,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=614
14Х2ГМРЛ,,Fe,0.1-0.17,1.4-1.7,0.45-0.55,,,,0-0.3,0.9-1.2,0.2-0.42,0-0.02,0-0.02,0-0.3,,,B 0-0.004,,"ГОСТ 21357-87, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=247
15ГЛ,,Fe,0.12-0.18,,,,,,,0.7-1,0.3-0.6,0-0.04,0-0.04,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=634
15ГНЛ,A350LF5 1.5622 14Ni6 16N6 15Ni6,Fe,0.12-0.2,0-0.3,,,,,0.8-1.2,0.8-1.4,0.2-0.4,0-0.03,0-0.03,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=251
15ХЛ,,Fe,0.12-0.18,0.5-0.8,,,,,,0.4-0.6,0.2-0.5,0-0.04,0-0.04,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1709
20Г1ФЛ,J13002,Fe,0.16-0.25,,,0.06-0.12,,,,0.9-1.4,0.2-0.5,0-0.05,0-0.05,,,,Ti 0-0.05,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=609
20ГЛ,A352GrLCC GrA2Q J02503 J02505 1.1120 1.1133 G17Mn5 GS20Mn5 SCA1 SCMn1 G21Mn5 G22Mn3 20L Ao20Mn6 L20G T20Mn14 422714 GS21Mn5,Fe,0.15-0.25,,,,,,,1.2-1.6,0.2-0.4,0-0.04,0-0.04,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=607
20ГНМФЛ,,Fe,0.14-0.22,0-0.3,0.15-0.25,0.06-0.12,,,0.7-1,0.7-1.2,0.2-0.4,0-0.03,0-0.03,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=250
20ГНМЮЛ,,Fe,0.16-0.23,,0.15-0.3,,,,0.3-0.5,1.1-1.6,0.2-0.5,0-0.035,0-0.035,,,,Al 0.01,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1724
20ГСЛ,1022 1518 G10220 G15180 G15220 H15220 1.1133 20Mn5 G21Mn5 GS-20Mn5 SMnC420 20M5 120M19 20Mn7 G22Mn3 20Mn6 F.1515 F.220A 20MnG 2132 Ao20Mn5 422714,Fe,0.16-0.22,,,,,,,1-1.3,0.6-0.8,0-0.03,0-0.03,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=608
20ДХЛ,,Fe,0.15-0.25,0.8-1.1,,,,,,0.5-0.8,0.2-0.4,0-0.04,0-0.04,1.4-1.6,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=613
20ФЛ,J13052 20GFL 422723,Fe,0.14-0.25,,,0.06-0.12,,,,0.7-1.2,0.2-0.52,0-0.05,0-0.05,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=225
20ХГСНДМЛ,,Fe,0.18-0.24,0.6-0.9,0.1-0.15,,,,1.1-1.5,0.9-1.3,0.9-1.2,0-0.045,0-0.05,0.4-0.6,,,Ti 0.03-0.07,,"ГОСТ 977-75, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=242
20ХГСФЛ,,Fe,0.14-0.22,0.3-0.6,,0.07-0.13,,,0-0.4,0.9-1.3,0.5-0.7,0-0.02,0-0.02,0-0.3,,,,,"ГОСТ 21357-87, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=228
20ХМЛ,,Fe,0.15-0.25,0.4-0.7,0.4-0.6,,,,,0.4-0.9,0.2-0.42,0-0.04,0-0.04,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=249
20ХМФЛ,Gr.WC6 1.7733 24CrMoV5-5 GS17CrMo55 SCPH21 15CD5-05M 621 671-850 G15CrMo55 L18HM 15320 422744,Fe,0.18-0.25,0.9-1.2,0.5-0.7,0.2-0.3,,,,0.6-0.9,0.2-0.4,0-0.025,0-0.025,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=610
23ХГС2МФЛ,,Fe,0.18-0.24,0.6-0.9,0.25-0.3,0.1-0.15,,,,0.5-0.8,1.8-2,0-0.025,0-0.025,,,,,,"ГОСТ 977-88, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=616
